Update: 2016-11-04

### Ship Type : See shiptype.txt
### After Upgrade : Ship id after upgrade

### Max Hp, Armor, Fire power, Torpedo power, AA Power, Luck
[Default Value],[Max Value]

### Speed
0	Land base
5	Slow
10	Fast

### Range
0	None
1	Short
2	Middle
3	Long
4	Super long

### Materials on broken : [Fuel],[Ammo],[Steel],[Bauxite]
### Required fuel, Required ammo : Required material to upgrade

### Voice bits
1	Idle voice
2	O-clock voice
4	Special idle voice (Idle voice when Condition>=50)

### Player ships
ID	Sort No.	Name	Yomi	Ship Type	Upgrade Level	After Upgrade	Max Hp	Armor	Fire power	Torpedo power	AA Power	Luck	Speed	Range	Slot count	Airplanes	Build mins	Materials on broken	Powerup point	Rarity	Required fuel	Required ammo	Max fuel	Max ammo	Voice bits
1	31	睦月	むつき	2	20	254	13,24	5,18	6,29	18,59	7,29	12,49	10	1	2	0,0,0,0,0	18	1,1,4,0	1,1,0,0	3	100	100	15	15	0
2	32	如月	きさらぎ	2	20	255	13,24	5,18	6,29	18,49	7,29	10,49	10	1	2	0,0,0,0,0	18	1,1,4,0	0,1,0,0	2	100	100	15	15	0
6	35	長月	ながつき	2	20	258	13,24	5,18	6,29	18,49	7,29	15,69	10	1	2	0,0,0,0,0	18	1,1,4,0	0,1,0,0	2	100	100	15	15	0
7	37	三日月	みかづき	2	20	260	13,24	5,18	6,29	18,49	7,29	10,49	10	1	2	0,0,0,0,0	18	1,1,4,0	0,1,0,0	1	100	100	15	15	0
9	11	吹雪	ふぶき	2	20	201	15,29	5,19	10,29	27,79	10,39	17,49	10	1	2	0,0,0,0,0	20	1,1,5,0	1,1,0,0	3	100	100	15	20	0
10	12	白雪	しらゆき	2	20	202	15,29	5,19	10,29	27,69	10,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	2	100	100	15	20	0
11	14	深雪	みゆき	2	20	204	15,29	5,19	10,29	27,69	10,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	2	100	100	15	20	0
12	16	磯波	いそなみ	2	20	206	15,29	5,19	10,29	27,69	10,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	1	100	100	15	20	0
13	17	綾波	あやなみ	2	20	207	15,29	5,19	10,29	27,79	12,39	12,49	10	1	2	0,0,0,0,0	20	1,1,5,0	1,1,0,0	3	100	100	15	20	0
14	18	敷波	しきなみ	2	20	208	15,29	5,19	10,29	27,69	12,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	2	100	100	15	20	0
15	68	曙	あけぼの	2	20	231	15,29	5,19	10,29	27,69	12,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	1	100	100	15	20	0
16	70	潮	うしお	2	20	233	15,29	5,19	10,29	27,69	12,39	20,79	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	1	100	100	15	20	0
17	91	陽炎	かげろう	2	20	225	16,34	6,19	10,29	24,79	12,39	12,49	10	1	2	0,0,0,0,0	24	1,1,6,0	1,1,0,1	3	100	100	15	20	0
18	92	不知火	しらぬい	2	20	226	16,34	6,19	10,29	24,69	9,39	10,49	10	1	2	0,0,0,0,0	24	1,1,6,0	0,1,0,1	2	100	100	15	20	0
19	93	黒潮	くろしお	2	20	227	16,34	6,19	10,29	24,69	9,39	10,49	10	1	2	0,0,0,0,0	24	1,1,6,0	0,1,0,1	1	100	100	15	20	0
20	5	雪風	ゆきかぜ	2	20	228	16,39	7,29	10,29	24,79	12,49	50,99	10	1	2	0,0,0,0,0	24	1,1,6,0	0,1,1,1	6	100	100	15	20	0
21	42	長良	ながら	3	20	218	26,39	10,29	14,49	24,89	13,59	12,49	10	2	2	1,1,0,0,0	60	2,2,10,0	0,1,0,2	4	200	200	25	25	0
22	43	五十鈴	いすず	3	12	219	26,39	10,29	14,39	24,79	13,49	10,49	10	2	2	1,1,0,0,0	60	2,2,10,0	0,1,0,1	2	200	200	25	25	0
23	45	由良	ゆら	3	20	220	26,39	10,29	14,39	24,79	13,49	10,49	10	2	2	1,1,0,0,0	60	2,2,10,0	0,1,0,1	1	200	200	25	25	0
24	19	大井	おおい	3	10	57	25,39	11,29	14,49	24,89	13,59	17,49	10	2	2	0,0,0,0,0	60	2,2,9,0	0,1,0,1	5	100	400	25	25	1
25	20	北上	きたかみ	3	10	58	25,39	10,29	14,39	24,79	13,49	15,69	10	2	2	0,0,0,0,0	60	2,2,9,0	0,1,0,1	4	100	400	25	25	1
26	26	扶桑	ふそう	9	20	286	67,89	59,79	74,94	0,0	23,79	5,39	5	3	4	3,3,3,3,0	260	9,18,36,3	4,0,1,3	4	500	150	85	120	0
27	27	山城	やましろ	9	20	287	67,89	59,79	74,94	0,0	23,79	5,39	5	3	4	3,3,3,3,0	260	9,18,36,3	4,0,1,3	4	500	150	85	120	0
28	33	皐月	さつき	2	20	256	13,24	5,18	6,29	18,49	7,29	10,49	10	1	2	0,0,0,0,0	18	1,1,4,0	0,1,0,0	2	100	100	15	15	0
29	34	文月	ふみづき	2	20	257	13,24	5,18	6,29	18,49	7,29	10,49	10	1	2	0,0,0,0,0	18	1,1,4,0	0,1,0,0	2	100	100	15	15	0
30	36	菊月	きくづき	2	20	259	13,24	5,18	6,29	18,49	7,29	10,49	10	1	2	0,0,0,0,0	18	1,1,4,0	0,1,0,0	1	100	100	15	15	0
31	38	望月	もちづき	2	20	261	13,24	5,18	6,29	18,49	7,29	10,49	10	1	2	0,0,0,0,0	18	1,1,4,0	0,1,0,0	1	100	100	15	15	0
32	13	初雪	はつゆき	2	20	203	15,29	5,19	10,29	27,69	10,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	1	100	100	15	20	0
33	15	叢雲	むらくも	2	20	205	15,29	5,19	10,29	27,69	10,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	2	100	100	15	20	1
34	71	暁	あかつき	2	20	234	15,30	6,19	10,29	27,79	12,39	12,49	10	1	2	0,0,0,0,0	20	1,1,5,0	1,1,0,0	3	100	100	15	20	0
35	72	響	ひびき	2	20	235	15,30	6,19	10,29	27,69	12,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	2	100	100	15	20	0
36	73	雷	いかづち	2	20	236	15,30	6,19	10,29	27,69	12,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	1	100	100	15	20	0
37	74	電	いなづま	2	20	237	15,30	6,19	10,29	27,69	12,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	1	100	100	15	20	0
38	75	初春	はつはる	2	20	238	16,31	6,19	10,29	27,79	12,39	12,49	10	1	2	0,0,0,0,0	20	1,1,5,0	1,1,0,0	3	100	100	15	20	0
39	76	子日	ねのひ	2	20	239	16,31	6,19	10,29	27,69	9,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	1	100	100	15	20	0
40	77	若葉	わかば	2	20	240	16,31	6,19	10,29	27,69	9,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	2	100	100	15	20	0
41	78	初霜	はつしも	2	20	241	16,31	6,19	10,29	27,69	9,39	10,49	10	1	2	0,0,0,0,0	20	1,1,5,0	0,1,0,0	2	100	100	15	20	0
42	79	白露	しらつゆ	2	20	242	16,32	6,19	10,29	24,79	12,39	12,49	10	1	2	0,0,0,0,0	22	1,1,5,0	1,1,0,0	3	100	100	15	20	0
43	80	時雨	しぐれ	2	20	243	16,32	6,19	10,29	24,69	9,39	10,49	10	1	2	0,0,0,0,0	22	1,1,5,0	0,1,0,0	2	100	100	15	20	1
44	81	村雨	むらさめ	2	20	244	16,32	6,19	10,29	24,69	9,39	10,49	10	1	2	0,0,0,0,0	22	1,1,5,0	0,1,0,0	2	100	100	15	20	0
45	82	夕立	ゆうだち	2	20	245	16,32	6,19	10,29	24,69	9,39	10,49	10	1	2	0,0,0,0,0	22	1,1,5,0	0,1,0,0	2	100	100	15	20	1
46	83	五月雨	さみだれ	2	20	246	16,32	6,19	10,29	24,69	9,39	10,49	10	1	2	0,0,0,0,0	22	1,1,5,0	0,1,0,0	2	100	100	15	20	0
47	84	涼風	すずかぜ	2	20	247	16,32	6,19	10,29	24,79	9,39	12,49	10	1	2	0,0,0,0,0	22	1,1,5,0	1,1,0,0	3	100	100	15	20	0
48	89	霰	あられ	2	20	252	16,33	6,19	10,29	24,69	9,39	10,49	10	1	2	0,0,0,0,0	22	1,1,5,0	0,1,0,1	1	100	100	15	20	0
49	90	霞	かすみ	2	20	253	16,33	6,19	10,29	24,69	9,39	15,59	10	1	2	0,0,0,0,0	22	1,1,5,0	0,1,0,1	2	100	100	15	20	0
50	10	島風	しまかぜ	2	20	229	19,39	8,29	12,29	45,89	14,49	10,49	10	1	2	0,0,0,0,0	30	1,1,5,0	0,2,1,1	6	120	100	20	25	0
51	28	天龍	てんりゅう	3	20	213	23,35	7,29	11,39	18,59	8,39	17,49	10	2	2	0,0,0,0,0	60	1,1,8,0	0,1,0,1	3	150	200	25	20	0
52	29	龍田	たつた	3	20	214	23,35	7,29	11,39	18,59	8,39	17,49	10	2	2	0,0,0,0,0	60	1,1,8,0	0,1,0,1	3	150	200	25	20	0
53	44	名取	なとり	3	20	221	26,39	10,29	14,39	24,79	13,49	10,49	10	2	2	1,1,0,0,0	60	2,2,10,0	0,1,0,1	2	200	200	25	25	0
54	46	川内	せんだい	3	20	222	26,39	11,29	14,49	24,89	13,59	12,49	10	2	2	1,1,0,0,0	60	2,2,10,0	0,1,0,2	4	200	200	25	25	0
55	47	神通	じんつう	3	20	223	26,39	11,29	14,39	24,79	13,49	10,49	10	2	2	1,1,0,0,0	60	2,2,10,0	0,1,0,1	1	200	200	25	25	0
